id,channel,publishedAt,title,description,views,likes,commentCount
nIEnB90vzyw,Chase the Summit,2026-08-01 19:31:06+00:00,Samsung Galaxy Watch Ultra 2 In-Depth Review (Worth The Money?),"Samsung Galaxy Watch Ultra 2 Amazon: https://geni.us/L1shOZ  Samsung Galaxy Watch 9 Amazon: https://geni.us/nnkD  Garmin Forerunner 970 TrackBetter (USA) - https://click.chasethesummit.com/forerunner970 Amazon - https://geni.us/xZiHoVa  Apple Watch Ultra 3 Amazon: https://geni.us/rXxMa  Suunto Race 2 Suunto Website -  https://click.chasethesummit.com/suunto Amazon -  https://geni.us/xeL0bP  FTC Disclaimer: The links above are affiliate links from which I earn a small commission. This does not affect you as a customer at all, but it does help support this channel!  **CTS Merch Store! Pick up a Hat or Shirt!** https://www.chasethesummit.com  **Listen to the Distance Junkie Podcast!** https://distancejunkie.com/  **Want to help? Support this channel on Patreon!** https://www.patreon.com/chasethesummit  **Follow Me!** Instagram: https://www.instagram.com/chasethesummit/ Threads: https://www.threads.net/@UCZyvpNh-0pN5ouYGuB7_HDw Strava: https://www.strava.com/athletes/17359116 Website: https://www.chasethesummit.com  **Join the Conversation on Discord!** https://discord.gg/9QR3R2FuSu  **Want to send me something?** Chase the Summit 1751 Main Street # 843 Tewksbury, MA, 01876  **Supplements and Nutrition I Take** Athletic Greens AG1: https://athleticgreens.sjv.io/m52yxO Tailwind: https://click.chasethesummit.com/electrolytes Liquid IV: https://glnk.io/75r0/chasethesummit cbdMD Gummies and Topicals: https://cbdmd.t7c9v8.net/rQ2rPv  **Wellness Tech I Use** Whoop Band: https://join.whoop.com/chasethesummit/ Oura Ring: https://ouraring.sjv.io/KjZGVy Ultrahuman: https://www.ultrahuman.com/ChaseTheSummit/  **Running / Outdoor Gear I Use** GPS Watch: https://click.chasethesummit.com/watch Trail Running Shoe: https://click.chasethesummit.com/trailshoes Road Shoe: https://click.chasethesummit.com/roadshoes Running Hat: https://click.chasethesummit.com/hat Hydration Vest: https://click.chasethesummit.com/vest Headlamp: https://click.chasethesummit.com/headlamp Trail Running Socks: https://click.chasethesummit.com/socks Handheld: https://click.chasethesummit.com/bottle Earbuds: https://click.chasethesummit.com/earbuds  **Camera / YouTube Gear I Use** Main Camera: https://click.chasethesummit.com/maincamera Secondary Camera: https://click.chasethesummit.com/secondcamera Overhead Camera: https://click.chasethesummit.com/overheadcam Favorite Lens: https://click.chasethesummit.com/lens Action Camera: https://click.chasethesummit.com/actioncam Editing Computer: https://click.chasethesummit.com/computer Phone: https://click.chasethesummit.com/phone  00:00 - Intro/Overview 01:07 - Hardware 03:27 - Display 05:10 - Battery Life 07:59 - User Interface / Apps / Health Data 13:35 - Activity Tracking / Workouts 15:52 - Navigation / Maps 20:18 - Heart Rate Accuracy 20:55 - GPS Accuracy 21:35 - Final Thoughts / Conclusion",41012,1216,208
mlh1js3QP_0,Everyday Legends,2024-12-27 21:00:35+00:00,Samsung Galaxy Watch Ultra Review: Is it Worth the Money?,"The Samsung Galaxy Watch Ultra is a fantastic watch. I have used various Apple Watches and Google Pixel watches and this is easily my favorite designed watch. It has great battery life, a beautiful and bright screen, rugged build quality and is built to last, fast and fluid software, and good fitness tracking capabilities that could definitely be better. If you have a Samsung device, like the Samsung Galaxy S24 Ultra, this is the watch for you. Just don't expect it to be the best fitness tracker compared to Garmin, Apple, and Pixel watches.  Timestamps:  00:00 - Intro / Battery 01:28 - Software 02:54 - Design 04:26 - Screen 05:43 - Fitness Tracking 07:21 - Final Verdict  #samsunggalaxywatchultra #galaxywatch #galaxywatchultra #samsunggalaxys24ultra #galaxys24ultra #samsunggalaxy #samsung #TechDiscussion #TechDebate #florida #tech",163273,1144,145
f1FhBqrVp_k,ben's gadget reviews,2026-08-02 05:46:56+00:00,Samsung Galaxy Watch Ultra 2 Review: The Do-It-All Watch,"The Samsung Galaxy Watch Ultra 2 is a bit thinner and lighter than the first generation, but it brings a larger battery and improved performance across the board. For me, I like that it allows me to run Google apps on it without any limitations. Its health tracking also seems accurate, particularly the body composition tracker seemed accurate.  The OLED display is sharp and bright, and titanium body feels premium and dense, in a good way. This is a powerhouse watch with a high price tag to boot.   Follow me on Instagram at bensgadgetreviews or Twitter at bencsin",13034,425,71
pwHPUaxBVbQ,DKHD,2026-08-02 17:04:21+00:00,"Samsung Galaxy Watch Ultra 2 - 1 WEEK LATER (BATTERY, CHANGES AND THE TRUTH)",Samsung Galaxy Watch Ultra 2 1 week later is here  In this video: - Watch Ultra 2 design and display details -  We got details about watch ultra 2 battery - Watch Ultra 2 battery in real world usage - Watch Ultra 2 new features  #watchultra2 #samsung #galaxywatchultra2,3721,78,19
R-Bs8P7wys8,Mike O'Brien,2026-07-22 13:00:03+00:00,NEW Galaxy Watch Ultra2 - Samsung's Best Smartwatch!,"Galaxy Watch Ultra2 👉 https://mikeobrienmedia.com/GalaxyWatchUltra2  Galaxy Watch Ultra (last year's model) 👉 https://mikeobrienmedia.com/WatchUltra2025   Galaxy Watch9 video: https://youtu.be/rSBU1rRZtw4 Galaxy Fold8 video: https://youtu.be/5eM8NtR_Dgw Galaxy Fold8 Ultra video: https://youtu.be/aAlo21UhwTE  This is the Galaxy Watch Ultra2, with tons of new features, hidden design changes, and a significantly longer battery life. In many ways, this is the best Galaxy Watch to buy. I’ve been wearing this for almost a week now and this is not just a first impressions video. I want to give an early look into my testing and see how accurate the heart rate is, the sleep tracking, the gps, and even the health and wellness features. There really are a lot of changes in this watch   Follow me on social media! (it's always just @mikeobrienn) Instagram: https://instagram.com/mikeobrienn Twitter: https://twitter.com/mikeobrienn TikTok: https://tiktok.com/@mikeobrienn About me: https://mikeobrienmedia.com  Please comment below with any questions you might have.  Thank you all for watching! I appreciate you!   Disclaimer: This video is purely based on my experiences, research, and opinions.  You and only you are responsible for your actions.  I made this channel to advise viewers and I truly hope to help you all out.  I love making these videos and connecting with my viewers! One or more of the products shown in this video may have been sent to me at no cost. This does not influence my opinions; I always cover both pros and cons. This channel is monetized via YouTube ads as well as some affiliate links.  If a purchase is made after clicking the link, I will receive a small commission at no extra charge to the buyer.  Thank you all for watching!  Additional video notes:  DESIGN  IP69k and 10atm water rating  12% slimmer  800mAh battery, 35% larger  DISPLAY   5000 nit 1.52” display - brightest display in any smartwatch  BUILD  Titanium - two colors Gray or Silver  Always 47mm  12% slimmer  New band - 25% lighter, much thinner, I like this a lot  BATTERY - 100% at 9am on July 15 -almost a 3 day battery life  FITNESS & WORKOUTS  NEW STUFF  Trail run - route mapping, elevation map, nutrition and hydration alerts  Upload GPX maps to the watch, see what elevation is coming next  Predicts sweat loss   Diving - partner with mares. New app made for Samsung. Compression limits, time without having to decompress, speed alerts, depth tracking, water temp, etc.    HR ACCURACY  Run - very very accurate for running. Compared to H10 ECG strap  I was on a treadmill because the wildfire smoke has it looking like star wars outside - R-value 99 and R2 of 98 which included two major intervals   Some lagging is normal   I will continue testing this, but the preliminary results look very promising. I am happy to see such accuracy  HEALTH & WELLNESS  So we have a lot here, some is new and some have been around for a while   Vitals  - 5 metrics - HRV, HR, temp, resp rate, blood oxygen (after 7 nights you get a baseline) - I think Apple Watch already does this exact thing, right?    Heart Health Score - no new metrics, just uses 4 metrics and gives you a score - sleep time, BMI, blood pressure, activity - interestingly not based on any HR readings   Daily Cardio Load - helps you understand when to push or rest - gives rest time recommendations - I am still ramping mine up so nothing useful there yet    Fitness Index - gives a score with a pentagon chart - then you get personalized training and workout programs (take a look at this)   SLEEP ACCURACY  Muse headband EEG tracking  1:12 Deep vs 1:15 Oura5 vs 1:12 Fitbit Air vs 59m Galaxy Watch Ultra2 4% error Oura, 0% error Fitbit, 18% error Galaxy Watch Ultra2   1:14 REM vs 1:23 Oura vs 1:21 Fitbit vs 1:37 Galaxy  12% error Oura, 9.4% error Fitbit, 31% error Galaxy   But sleep stages aren’t everything. Restorative sleep is often judged by RHR, HRV, motion, temperature, and blood oxygen levels   RHR: Muse 54, Galaxy 52, Fitbit 58, Oura 48   HRV - Galaxy 82, Fitbit 70, Oura 77 - without a reference device, no telling which is correct. All show a similar value though. It would be much lower after travel or alcohol consumption  As I continue to sleep with this watch, I will record the anecdotes of how I feel vs the sleep score  AGEs INDEX - snapshot of your metabolic health  So the health stuff is extensive and honestly I expect everyone will have a slightly different regiment based on your goals. I appreciate the many options here  SMARTWATCH ABILITIES  SPEED TEST  Close all apps Open strava Open google play Gemini - ask a question Gemini - ask it how many steps I took today   Snapdragon Wear Elite - faster and more efficient  LTE enabled  Music on watch - auto sync with phone  Hearing protection feature - alerts you with loud sounds, you choose the threshold  Raise to speak to Gemini",170740,3245,577
H54FrRSnXPg,Mike O'Brien,2025-08-22 15:54:07+00:00,Worth The Price? Galaxy Watch8 Ultra (2025) FULL REVIEW,"Galaxy Watch Ultra (latest sale price) 👉 https://mikeobrienmedia.com/WatchUltra2025 (affiliate)  I've been wearing the Galaxy Watch Ultra every day for the past month. Despite looking the same, there are a lot of changes! So is this a good watch?  Follow me on social media! (it's always just @mikeobrienn) Instagram: https://instagram.com/mikeobrienn Twitter: https://twitter.com/mikeobrienn TikTok: https://tiktok.com/@mikeobrienn About me: https://mikeobrienmedia.com  Please comment below with any questions you might have.  Thank you all for watching! I appreciate you!   Disclaimer: This video is purely based on my experiences, research, and opinions.  You and only you are responsible for your actions.  I made this channel to advise viewers and I truly hope to help you all out.  I love making these videos and connecting with my viewers! One or more of the products shown in this video may have been sent to me at no cost. This does not influence my opinions; I always cover both pros and cons. This channel is monetized via YouTube ads as well as some affiliate links.  If a purchase is made after clicking the link, I will receive a small commission at no extra charge to the buyer.  Thank you all for watching!  additional video notes:  I’m going to call this the Watch8 Ultra  What’s new?   More storage - 64GB now  Now a blue colorway  OneUI8 comes preloaded, and the old ones are getting OneUI8 anyway. So with these software updates and all the changes since the original launched last year, how good is this watch?  I’ll dig into a speaker and mic test, a tour of the UI, heart rate accuracy analysis as well as gps, sleep tracking, and more.  This should be a complete review of the Galaxy Watch Ultra for anyone considering buying one  Durability   Sleep tracking  It tries to give useful insights and I really appreciate that. I know what I am looking for in my numbers, but many people might not. The insights and summaries are nice.    That said, they have been consistently wrong for me. “Did you have stimulants before bed” - no, but I did eat a late dinner.  “Manage your stress levels” - no, it was a really fun and relaxing night.   The sleep stages seem to be relatively accurate. Always some discrepancy between awake time and light sleep, but I do not care about that. Deep sleep and REM are usually pretty close to what my WHOOP, Garmin, and Apple watch devices say  HRV is not very close though - disagrees with many other devices.    I usually average 60 - 70 with some nights hitting the low 100s if I am doing sprint workouts. Galaxy Watch 8 Ultra consistently gives me an AVERAGE of 105ms - I wish that was correct! Hey, maybe everything else is wrong, but I am skeptical of the Galaxy Watch here.  Energy score - Pretty useless. Essentially just a more complex sleep score. I want this to adapt throughout the day like Garmin body battery   Always tells me to prioritize rest. I could get great sleep and have an energy score of 89 and it will tell me to prioritize rest  Battery  I keep AOD on.    I went from 60% yesterday morning to 25% this morning. I throw it on the charger while I shower, brush my teeth, get dressed, etc. That brings me back to 50% so with this method, I’m losing about 10% per day which means I need to do a full recharge about once every 9 days. Not bad!  If I am traveling, it lasts 2.5 - 3 days depending on GPS usage. That means it can barely eek through a weekend and you may want to turn off AOD and use power saving mode  I miss the two week battery life of my Garmin though.     Gemini  Took some adjustment to start using it, but actually sooooo useful    I ask it questions all the time, especially if I am driving and don’t want to use my phone.   It can do things on your watch like start workouts, timers, etc.   It does not answer questions about sleep tracking for example, but instead brings you to the sleep UI  SPEAKER TEST  MICROPHONE TEST  BUTTONS & DESIGN  I actually don’t hate the design. I used to but I sort of like it now   Three buttons is nice, but I made the middle one a double press because I kept accidentally hitting it   I still accidentally press it when I am driving for some reason   Not enough shortcuts for that button - only like 6 options. Not press and hold or single vs double press   Needs something that rotates, a bezel or crown. The digital bezel ain’t it. I only use the “digital bezel” to dismiss timers and phone calls. Otherwise, finger is in the way when spinning   Display is awesome - very easy to read, very bright, very colorful. The redshift is nice in the evening as well",221693,2670,250
ve5Vgrdq4SY,Tech It Easy,2026-06-05 12:47:36+00:00,Galaxy Watch Ultra In 2026 - It's 'Almost' Brilliant.,"Is the Samsung Galaxy Watch Ultra still worth buying in 2026, or should you wait for the Galaxy Watch Ultra 2? After 700 days of daily wear, this is my ultimate Galaxy Watch Ultra long-term review covering  real-world battery health, durability, and if it’s still the best Android smartwatch.   ⌚ Watch Faces: https://play.google.com/store/apps/details?id=watch.richface.marketplace&hl=en_GB  👉 The Titanium Band: https://amzn.to/49CR8Kr  Two years is usually when a smartwatch starts to feel its age — slower, clunkier, lucky to last a day. So after barely taking the Galaxy Watch Ultra off my wrist since launch, I wanted to give you a brutally honest, real-world long-term review rather than another launch-day spec sheet.  I dug through the developer settings and system logs to check the actual battery health after two years, walk through what I genuinely get day to day (two full days plus sleep tracking, often a third), and the four battery things that still disappoint me — the slow ~1h40m charge, no wireless power sharing, and just how much the always-on display really costs you.  Then the seven reasons it's still on my wrist in 2026: real-world durability, the feature set (body composition, vascular load, the new antioxidant/carotenoid reading, wrist blood pressure), watch faces and a fast-improving app selection, the 3,000-nit screen, the rugged three-button design, and the accuracy that actually matters — the data that helped me lose over 30kg and go from struggling with a 5K to running a sub-two-hour half marathon.  I'm not letting Samsung off the hook though: build quality and button wear after two years, the size, the pointless 2025 refresh, a worse raise-to-wake gesture, flaky notifications, the missing rotating bezel, and sleep tracking that could be so much better.  So with the Galaxy Watch Ultra 2 around the corner — would I still buy this one today? Here's my full verdict.  Affiliate disclosure: some links below are affiliate links — I may earn a small commission at no extra cost to you. As always, I bought this watch with my own money.  📺 WATCH NEXT — my latest Galaxy Watch 8 Classic review: https://youtu.be/5b6KaY5nGqw ▶️ The Best Galaxy Watch Faces: https://www.youtube.com/playlist?list=PLMcA6zO9EMO4ObVKPSok20yH5faTbPO47  ⏱️ KEY MOMENTS 0:00 – Two years later: Is the Galaxy Watch Ultra still worth it in 2026? 0:21 – The real world battery life 1:43 – The battery problems I can't ignore 3:25 – My real-world battery verdict 3:44 – 7 reasons it's still on my wrist 3:57 – The 'Ultra' Durability 4:22 – The Watch Ultra Best Features 5:26 – Watch Faces 5:49 – The App Ecosystem 6:34 – Display & Buttons 7:20 – 'Real World' Accuracy 8:19 – 8 things that still frustrate me 10:13 - Notification problems? 11:23 – Why It's not so bad..  11:59 – Would I buy it again? The verdict  🔗 GEAR & LINKS Galaxy Watch Ultra: https://amzn.to/4abReZC The watch faces shown in this video: https://play.google.com/store/apps/details?id=watch.richface.marketplace&hl=en_GB  Questions Answered In This Video: Is the galaxy watch ultra still worth it in 2026? Should you wait for the galaxy watch ultra 2?  How long does the galaxy watch ultra take to charge? Is the Galaxy Watch Ultra Accurate? Where to get watch faces for the Galaxy Watch? What are the best Galaxy Watch Ultra features? Whats the real world battery life of the Galaxy Watch Ultra? Why aren't Galaxy Watch Ultra notifications working?   🔔 SUBSCRIBE  https://www.youtube.com/@TechItEasyCollective?sub_confirmation=1  About Tech It Easy: Independent, tech reviews — real-world testing, honest verdicts, and tech I buy with my own money. If this helped, a like and subscribe genuinely keeps independent reviews like this going.  #GalaxyWatchUltra #SamsungGalaxyWatch #Smartwatch #WearOS",21166,377,67
9bd6QCLh4RM,Mike O'Brien,2024-08-22 14:17:13+00:00,Galaxy Watch Ultra (Problems & Best Features 1 Month Later),"A portion of this video was sponsored by BestBuy Buy A Galaxy Watch Ultra 👉 https://go.magik.ly/ml/24agv/ Get a $10 BestBuy E-Certificate when you buy a ring sizing kit - now at Best Buy #BestBuyPartner  I've been wearing the Galaxy Watch Ultra for one month now and I have to say, it's impressive but I found some quirks and drawbacks you'll want to know about.   Follow me on social media! (it's always just @mikeobrienn) Instagram: https://instagram.com/mikeobrienn Twitter: https://twitter.com/mikeobrienn TikTok: https://tiktok.com/@mikeobrienn About me: https://mikeobrienmedia.com   Disclaimer: This video is purely based on my experiences, research, and opinions. You and only you are responsible for your actions. I made this channel to advise viewers and I truly hope to help you all out. I love making these videos and connecting with my viewers! One or more of the products shown in this video may have been sent to me at no cost. This does not influence my opinions; I always cover both pros and cons. This channel is monetized via YouTube ads as well as some affiliate links. If a purchase is made after clicking the link, I will receive a small commission at no extra charge to the buyer. Thank you all for watching!  ADDITIONAL VIDEO NOTES:  PRO - Watch is extremely accurate. I’ll get into some advanced testing I did but the HR and GPS are among the best in the industry  CON - I wish the buttons were mappable during workouts.  PRO - The strap - became more comfortable after using it a lot. I opted for the black strap with titanium grey watch  PRO - There are lug attachments that work as an adapter for traditional watch straps  CON - BUT Marine band sticks out at the end of the clasp CON - Straps are not actually that easy to put on - easy to get off if you have long fingernails though  BOTH - Battery gets me through 2.5 - 3 days comfortably but sometimes less if I am doing a lot  PRO - The watch face is awesome and very customizable  CON - Sometimes I hit the quick button when I play golf and wear a glove  CON - Still needs a rotating mechanism  PRO - Pinch gesture is awesome! It also prompts you to use it when alarms go off, etc. Not a gimmick at all  CON - Sometimes the knock knock gesture opens my recent apps by accident when I am not trying to use it.  BOTH - Notifications work perfectly for me. Everything about the UI is good but I never use the digital bezel. This thing definitely needs a rotating crown or bezel  CON - Some reports of misaligned displays  PRO - durability is awesome. No scratches or dents. I even wore this in the ocean and the buttons are fine  PRO - minimal dust collection in corners  CON - Cannot charge on a Samsung phone?! Making room for new sensor on board, but this is a huge disappointment  SPONSORED BY BESTBUY  ACCURACY TESTING  FITNESS  I still never use the race feature - try it for the video    From some angles, it can be tough to see the AMOLED if you are wearing polarized  I love the trackback feature during a run - especially when I am in a new city  SLEEP TRACKING  My sleep animal is a lion - doesn’t tell me much though   SPO2 tracking throughout the night seems to miss a lot of data. Makes me wonder how accurate it is. I have the watch somewhat tight without cutting off my circulation   Sleep scores are high - probably good. Whoop is more harsh but perhaps more truthful   Sleep apnea tracking is cool   Snoring detection is nice as well   I wish there was a morning briefing like Garmin has  SPEED  I know some said it was laggy but let’s see. With the latest software, I am not having any issues   Charging is slow though` 3q. It takes about 1.5 hrs with the fast charger to get back to 100%   And you cannot charge on the back of your phone  PRICE - I guarantee you will see sales. I’ll have a link. Check trade in prices as well.   Tip - go to Wear app, settings, press & hold, select assistant instead of Bixby  Also, change start action to double press to avoid accidental presses  This is Samsung’s best smartwatch for fitness tracking, battery life, and just about everything. I recommend it to anyone who does sprint triathlons or races, but does not necessarily compete. Like if you do a half ironman and your goal is to complete it, this could be the watch for you. It’s also the best android everyday watch in my opinion.  Personally, I love the Garmin Epix Pro Gen 2, but since I’ve been using this for the past month, I am genuinely going to have a hard time switching back. This is just such a nice watch. Maybe I’ll keep this on my wrist.  TIMESTAMPS: 0:00 I have been wearing this watch everyday 4:28 Sponsored segment (BestBuy) 5:39 Heart Rate Accuracy Analysis 9:00 GPS accuracy 10:40 More Pros & Cons 14:15 Fitness & Health Features 19:35 What about that price?",408411,4883,531
FOI30Us-WoQ,TechTalkTV,2024-08-02 19:23:16+00:00,Samsung Galaxy Watch Ultra Review - 3 Weeks Later,"Samsung Galaxy Watch Ultra Review - 3 Weeks Later Buy the Galaxy Watch Ultra here - https://howl.link/ri3hdfaf3i7wh  So, the Galaxy Watch Ultra has been out for a bit over three weeks now, and at first, there was a ton of excitement and noise around it. A lot of people were quick to call it a copycat without any original ideas. I’ve already talked about why that’s not true at all, but after wearing the Galaxy watch Ultra every day for these three weeks, do I still feel the same? Let’s dive into this in-depth review of the Galaxy Watch Ultra. I'll share what annoys me most about it, how accurate the new sensors are, and the absolute positive things you might not notice until you actually start using the Galaxy watch Ultra.",414802,4113,638
5ihpba2SZXk,Tech It Easy,2025-10-08 18:32:25+00:00,Samsung Galaxy Watch Ultra Review - 1 Year Later,"⭐ Titanium Watch Strap - https://amzn.to/44cIA9X - Lets see if the Samsung Galaxy Watch Ultra is still the best smartwatch in this long term review after 1 year of usage— I'll do a comparison of the Galaxy Watch Ultra (2024) vs Ultra 2 (2025) , battery life, fitness tracking, weight loss results & One UI 8 features explained.  After 1 year of daily use, I share my honest experience with Samsung’s best smartwatch — from durability and GPS accuracy to real-world battery life and health tracking.  I also compare the Galaxy Watch Ultra 2024 vs 2025 models, highlight the biggest One UI 8 updates, and show how this watch helped me reach major fitness and weight-loss goals.  If you’re wondering whether the Galaxy Watch Ultra is still worth it in 2025 — or even going into 2026 — this review covers everything you need to know!  #galaxywatchultra #samsung #techiteasy   --------------------------------🛒🛒🛒🛒🛒🛒🛒🛒🛒🛒🛒----------------------------------- 📌 Galaxy Watch Ultra on Amazon:  ⭐USA BUY HERE: https://amzn.to/3WvwDcr ⭐UK BUY HERE: https://amzn.to/4bUyADL  🎽 My favourite bands & accessories:  ⭐ 1. - Spigen Case & Strap Combo - https://amzn.to/3YXt54g 🐢 2. - Black Metal Galaxy Watch Ultra Strap - https://amzn.to/4dZi4ne 🐫3. - Screen protector - https://amzn.to/3MmMfcu 🚗 4. -Spigen charging station -  https://amzn.to/3yUz5QI 📖5.  Audible FREE books! - https://amzn.to/3YY7xEy  ⏱️ Full Watch Face series: https://www.youtube.com/playlist?list=PLMcA6zO9EMO53UmagXqsCbD_MnMiksvbh  As an amazon affiliate I earn commission from qualifying purchases using the provided links, all proceeds go towards the channel :)    --------------------------------⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰⏰-----------------------------------  0:00 Galaxy Watch Ultra Battery Life (Real World) 2:14 Charging speeds & Tips for Galaxy Watch Ultra 3:35 Galaxy Watch Ultra Fitness Tracking, GPS & Accuracy 5:59 Galaxy Watch Ultra Sleep Tracking Accuracy 7:23 Galaxy Watch Ultra Design, Comfort & Durability 9:28 Galaxy Watch Ultra 2024 vs 2025 & One UI 8 Update! 11:29 Smart Features 13:17 Should You Buy A Galaxy Watch Ultra?  --------------------------------💻💻💻💻💻💻💻💻💻💻💻-----------------------------------  Discord Link! - https://discord.gg/564F9tR29c  Support the channel here! https://ko-fi.com/techiteasy  Follow me on Instagram:@techiteasycollective  Become A Member!: https://www.youtube.com/channel/UCgRBt6iPeBE-ri_BaMrykAw/join",103795,1148,188
